	num_ancestors	num_children	a/(a+c)	frecuencia relativa	c/(a+c)	exp(-c)	log(1+a)
HP:0012397	12.0	0.0	1.0	0.0018303843807199512	0.0	1.0	1.1139433523068367
HP:0012398	6.0	0.0	1.0	0.0024405125076266015	0.0	1.0	0.8450980400142568
HP:0012399	7.0	0.0	1.0	NaN	0.0	1.0	0.9030899869919435
HP:0012400	5.0	2.0	0.7142857142857143	0.004677648972950987	0.2857142857142857	0.13533528323661267	0.7781512503836436
HP:0012401	8.0	2.0	0.8	0.002847264592231035	0.2	0.13533528323661267	0.9542425094393249
HP:0012402	9.0	0.0	1.0	0.0024405125076266015	0.0	1.0	1.0
HP:0012403	9.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0
HP:0012404	8.0	2.0	0.8	NaN	0.2	0.13533528323661267	0.9542425094393249
HP:0012405	9.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0
HP:0012406	9.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.0
HP:0012407	16.0	0.0	1.0	0.0018303843807199512	0.0	1.0	1.2304489213782739
HP:0012408	8.0	0.0	1.0	0.0024405125076266015	0.0	1.0	0.9542425094393249
HP:0012409	8.0	0.0	1.0	0.0004067520846044336	0.0	1.0	0.9542425094393249
HP:0012410	5.0	0.0	1.0	0.0052877770998576365	0.0	1.0	0.7781512503836436
HP:0012411	6.0	0.0	1.0	0.0026438885499288182	0.0	1.0	0.8450980400142568
HP:0012412	5.0	0.0	1.0	0.0018303843807199512	0.0	1.0	0.7781512503836436
HP:0012413	12.0	0.0	1.0	0.0002033760423022168	0.0	1.0	1.1139433523068367
HP:0012414	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012415	4.0	10.0	0.2857142857142857	0.007931665649786455	0.7142857142857143	4.5399929762484854e-05	0.6989700043360189
HP:0012416	6.0	0.0	1.0	0.0026438885499288182	0.0	1.0	0.8450980400142568
HP:0012417	6.0	0.0	1.0	0.0002033760423022168	0.0	1.0	0.8450980400142568
HP:0012418	6.0	4.0	0.6	0.006914785438275371	0.4	0.01831563888873418	0.8450980400142568
HP:0012419	6.0	0.0	1.0	NaN	0.0	1.0	0.8450980400142568
HP:0012420	4.0	0.0	1.0	0.0018303843807199512	0.0	1.0	0.6989700043360189
HP:0012421	10.0	0.0	1.0	NaN	0.0	1.0	1.0413926851582251
HP:0012422	8.0	0.0	1.0	NaN	0.0	1.0	0.9542425094393249
HP:0012423	5.0	0.0	1.0	NaN	0.0	1.0	0.7781512503836436
HP:0012424	10.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.0413926851582251
HP:0012425	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012426	11.0	0.0	1.0	0.0024405125076266015	0.0	1.0	1.0791812460476249
HP:0012427	13.0	0.0	1.0	0.0006101281269066504	0.0	1.0	1.146128035678238
HP:0012428	14.0	0.0	1.0	0.002033760423022168	0.0	1.0	1.1760912590556813
HP:0012429	10.0	2.0	0.8333333333333334	0.004881025015253203	0.16666666666666666	0.13533528323661267	1.0413926851582251
HP:0012430	11.0	0.0	1.0	0.002033760423022168	0.0	1.0	1.0791812460476249
HP:0012431	4.0	0.0	1.0	0.0006101281269066504	0.0	1.0	0.6989700043360189
HP:0012432	4.0	0.0	1.0	0.004677648972950987	0.0	1.0	0.6989700043360189
HP:0012433	6.0	83.0	0.06741573033707865	0.23571283302826926	0.9325842696629213	8.985825944049381e-37	0.8450980400142568
HP:0012434	9.0	0.0	1.0	0.004067520846044336	0.0	1.0	1.0
HP:0012435	10.0	0.0	1.0	0.0004067520846044336	0.0	1.0	1.0413926851582251
HP:0012436	13.0	0.0	1.0	NaN	0.0	1.0	1.146128035678238
HP:0012437	7.0	18.0	0.28	NaN	0.72	1.522997974471263e-08	0.9030899869919435
HP:0012438	7.0	2.0	0.7777777777777778	NaN	0.2222222222222222	0.13533528323661267	0.9030899869919435
HP:0012439	7.0	4.0	0.6363636363636364	NaN	0.36363636363636365	0.01831563888873418	0.9030899869919435
HP:0012440	7.0	30.0	0.1891891891891892	0.018100467764897293	0.8108108108108109	9.357622968840175e-14	0.9030899869919435
HP:0012441	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012442	9.0	0.0	1.0	NaN	0.0	1.0	1.0
HP:0012443	5.0	553.0	0.008960573476702509	0.524303437055115	0.9910394265232975	6.841502775783763e-241	0.7781512503836436
