gen,especificidad,capitalidad,similaridad
226,0.7916666666666666,0.8837209302325582,0.7169811320754716
229,0.7954545454545454,0.8974358974358975,0.7291666666666666
238,1.0,1.0,1.0
240,0.8,1.0,0.8
241,0.6666666666666666,1.0,0.6666666666666666
242,0.8085106382978723,0.8837209302325582,0.7307692307692307
249,0.7931034482758621,0.8846153846153846,0.71875
257,0.7924528301886793,0.8936170212765957,0.7241379310344828
258,0.8333333333333334,0.8333333333333334,0.7142857142857143
265,0.8,1.0,0.8
268,0.75,0.8571428571428571,0.6666666666666666
269,0.75,0.8571428571428571,0.6666666666666666
270,0.8125,0.8666666666666667,0.7222222222222222
271,0.8085106382978723,0.8837209302325582,0.7307692307692307
272,0.8571428571428571,0.8571428571428571,0.75
274,0.8026315789473685,0.8840579710144928,0.7261904761904762
275,0.8,0.8888888888888888,0.7272727272727273
283,0.8076923076923077,0.875,0.7241379310344828
284,0.8571428571428571,0.8571428571428571,0.75
285,0.75,1.0,0.75
286,0.803030303030303,0.8833333333333333,0.726027397260274
287,0.8125,0.8666666666666667,0.7222222222222222
288,0.7777777777777778,0.875,0.7
291,0.8032786885245902,0.8909090909090909,0.7313432835820896
308,0.6666666666666666,1.0,0.6666666666666666
311,0.7924528301886793,0.8936170212765957,0.7241379310344828
318,0.7894736842105263,0.8823529411764706,0.7142857142857143
324,0.8011695906432749,0.8896103896103896,0.7287234042553191
326,0.8043478260869565,0.8809523809523809,0.7254901960784313
330,0.8235294117647058,0.875,0.7368421052631579
331,0.8043478260869565,0.8809523809523809,0.7254901960784313
335,0.7857142857142857,0.88,0.7096774193548387
336,0.8571428571428571,0.8571428571428571,0.75
338,0.8076923076923077,0.8936170212765957,0.7368421052631579
344,0.8,0.8888888888888888,0.7272727272727273
345,0.75,0.8571428571428571,0.6666666666666666
348,0.7951807228915663,0.8918918918918919,0.7252747252747253
351,0.8,0.88,0.7213114754098361
353,0.8148148148148148,0.88,0.7333333333333333
355,0.7986577181208053,0.8880597014925373,0.725609756097561
356,0.8,0.8888888888888888,0.7272727272727273
359,0.8125,0.896551724137931,0.7428571428571429
362,0.75,0.8571428571428571,0.6666666666666666
367,0.7956989247311828,0.891566265060241,0.7254901960784313
368,0.7969924812030075,0.8907563025210085,0.726027397260274
372,0.8043478260869565,0.8809523809523809,0.7254901960784313
375,0.8,0.9090909090909091,0.7407407407407407
383,0.8,0.8888888888888888,0.7272727272727273
387,0.8125,0.896551724137931,0.7428571428571429
396,0.8148148148148148,0.88,0.7333333333333333
399,0.75,0.8571428571428571,0.6666666666666666
401,0.8,0.8888888888888888,0.7272727272727273
402,0.8571428571428571,0.8571428571428571,0.75
403,0.7954545454545454,0.8860759493670886,0.7216494845360825
407,1.0,1.0,1.0
410,0.803030303030303,0.8833333333333333,0.726027397260274
411,0.7936507936507936,0.8928571428571429,0.7246376811594203
412,0.7878787878787878,0.896551724137931,0.7222222222222222
415,0.8,0.896551724137931,0.7323943661971831
421,0.8015267175572519,0.8898305084745762,0.7291666666666666
427,0.7967479674796748,0.8909090909090909,0.725925925925926
429,0.7894736842105263,0.8823529411764706,0.7142857142857143
435,0.8,0.8888888888888888,0.7272727272727273
440,0.7941176470588235,0.9,0.7297297297297297
443,0.8,0.8888888888888888,0.7272727272727273
444,0.8108108108108109,0.8823529411764706,0.7317073170731707
445,0.8,0.9090909090909091,0.7407407407407407
462,0.8,0.8888888888888888,0.7272727272727273
463,0.6666666666666666,1.0,0.6666666666666666
471,0.8,0.9090909090909091,0.7407407407407407
472,0.8045977011494253,0.8860759493670886,0.7291666666666666
473,0.8023952095808383,0.8874172185430463,0.7282608695652174
476,0.7941176470588235,0.9,0.7297297297297297
477,0.8021978021978022,0.8902439024390244,0.73
478,0.8011695906432749,0.8896103896103896,0.7287234042553191
481,0.75,1.0,0.75
486,0.7777777777777778,0.875,0.7
487,0.7894736842105263,0.8823529411764706,0.7142857142857143
488,0.8,0.875,0.717948717948718
490,0.7916666666666666,0.9047619047619048,0.7307692307692307
491,0.8181818181818182,0.9,0.75
492,0.8064516129032258,0.8928571428571429,0.7352941176470589
498,0.7916666666666666,0.9047619047619048,0.7307692307692307
501,0.8043478260869565,0.8809523809523809,0.7254901960784313
506,0.7692307692307693,0.9090909090909091,0.7142857142857143
513,0.782608695652174,0.9,0.72
514,0.8571428571428571,0.8571428571428571,0.75
518,0.7777777777777778,0.875,0.7
523,0.8028169014084507,0.890625,0.7307692307692307
525,0.75,1.0,0.75
526,0.8,0.8918918918918919,0.7292817679558011
529,0.8,0.8947368421052632,0.7311827956989247
535,0.8095238095238095,0.8947368421052632,0.7391304347826086
537,0.8085106382978723,0.8837209302325582,0.7307692307692307
538,0.8011363636363636,0.8867924528301887,0.7268041237113402
540,0.8020833333333334,0.8850574712643678,0.7264150943396226
545,0.7976190476190477,0.8933333333333333,0.7282608695652174
546,0.8,0.8867924528301887,0.7258687258687259
547,0.8,0.8928571428571429,0.7299270072992701
549,0.7941176470588235,0.9,0.7297297297297297
551,0.7777777777777778,0.875,0.7
554,0.8095238095238095,0.8947368421052632,0.7391304347826086
558,0.8333333333333334,0.9090909090909091,0.7692307692307693
567,0.8035714285714286,0.8823529411764706,0.7258064516129032
570,0.8181818181818182,0.9,0.75
579,0.8,0.875,0.717948717948718
580,0.7777777777777778,0.875,0.7
581,0.7777777777777778,0.875,0.7
582,0.7978723404255319,0.8928571428571429,0.7281553398058253
583,0.8,0.896551724137931,0.7323943661971831
585,0.8108108108108109,0.8823529411764706,0.7317073170731707
587,0.7777777777777778,0.875,0.7
590,0.8181818181818182,0.9,0.75
593,0.8181818181818182,0.9,0.75
594,0.8181818181818182,0.9,0.75
595,0.797752808988764,0.8875,0.7244897959183674
596,0.7692307692307693,0.9090909090909091,0.7142857142857143
604,0.7692307692307693,0.9090909090909091,0.7142857142857143
610,0.8333333333333334,0.8333333333333334,0.7142857142857143
611,0.8,0.8888888888888888,0.7272727272727273
613,0.8051948051948052,0.8857142857142857,0.7294117647058823
617,0.8051948051948052,0.8857142857142857,0.7294117647058823
627,0.7857142857142857,0.88,0.7096774193548387
629,0.8,0.8888888888888888,0.7272727272727273
631,0.8571428571428571,0.8571428571428571,0.75
633,0.7948717948717948,0.8857142857142857,0.7209302325581395
640,0.8,0.8888888888888888,0.7272727272727273
641,0.797979797979798,0.8876404494382022,0.7247706422018348
644,0.75,0.8571428571428571,0.6666666666666666
646,0.7857142857142857,0.88,0.7096774193548387
649,0.8,0.8888888888888888,0.7272727272727273
650,0.803921568627451,0.8913043478260869,0.7321428571428571
652,0.8043478260869565,0.891566265060241,0.7326732673267327
654,0.7959183673469388,0.8863636363636364,0.7222222222222222
657,0.8034188034188035,0.8867924528301887,0.7286821705426356
658,0.8021978021978022,0.8902439024390244,0.73
659,0.782608695652174,0.9,0.72
667,0.8043478260869565,0.8809523809523809,0.7254901960784313
668,0.8085106382978723,0.8837209302325582,0.7307692307692307
669,0.8333333333333334,0.8333333333333334,0.7142857142857143
672,0.8012048192771084,0.8866666666666667,0.726775956284153
673,0.8012422360248447,0.8896551724137931,0.7288135593220338
675,0.7987421383647799,0.8881118881118881,0.7257142857142858
676,0.75,1.0,0.75
678,0.75,1.0,0.75
686,0.8076923076923077,0.8936170212765957,0.7368421052631579
695,0.8051948051948052,0.8857142857142857,0.7294117647058823
699,0.8045977011494253,0.8860759493670886,0.7291666666666666
701,0.7964601769911505,0.8910891089108911,0.7258064516129032
708,0.8095238095238095,0.8947368421052632,0.7391304347826086
710,0.8095238095238095,0.8947368421052632,0.7391304347826086
712,0.8333333333333334,0.8333333333333334,0.7142857142857143
713,0.8333333333333334,0.8333333333333334,0.7142857142857143
714,0.8333333333333334,0.8333333333333334,0.7142857142857143
715,0.8048780487804879,0.8918918918918919,0.7333333333333333
716,0.7878787878787878,0.896551724137931,0.7222222222222222
717,0.6666666666666666,1.0,0.6666666666666666
718,0.8148148148148148,0.88,0.7333333333333333
720,0.8,0.8823529411764706,0.7228915662650602
721,0.7777777777777778,0.875,0.7
726,0.8,0.8888888888888888,0.7272727272727273
727,0.8571428571428571,0.8571428571428571,0.75
729,0.75,1.0,0.75
730,0.75,1.0,0.75
731,0.75,1.0,0.75
732,0.75,1.0,0.75
735,0.75,1.0,0.75
738,0.8,0.8888888888888888,0.7272727272727273
745,0.7906976744186046,0.8947368421052632,0.723404255319149
755,0.803030303030303,0.8833333333333333,0.726027397260274
760,0.8,0.8888888888888888,0.7272727272727273
762,0.8076923076923077,0.875,0.7241379310344828
763,0.8,0.8888888888888888,0.7272727272727273
767,0.8095238095238095,0.8947368421052632,0.7391304347826086
771,0.75,0.8571428571428571,0.6666666666666666
773,0.7981220657276995,0.8900523560209425,0.7264957264957265
774,0.8028169014084507,0.890625,0.7307692307692307
775,0.7959183673469388,0.8863636363636364,0.7222222222222222
776,0.8085106382978723,0.8837209302325582,0.7307692307692307
777,0.8095238095238095,0.8947368421052632,0.7391304347826086
778,0.7894736842105263,0.8823529411764706,0.7142857142857143
779,0.8051948051948052,0.8857142857142857,0.7294117647058823
781,0.8,0.8888888888888888,0.7272727272727273
783,0.8,0.8571428571428571,0.7058823529411765
785,0.8,0.875,0.717948717948718
788,0.7954545454545454,0.8974358974358975,0.7291666666666666
790,0.8,0.8888888888888888,0.7272727272727273
799,1.0,1.0,1.0
801,0.8076923076923077,0.875,0.7241379310344828
805,0.7857142857142857,0.88,0.7096774193548387
808,0.8181818181818182,0.9,0.75
811,0.8,0.8888888888888888,0.7272727272727273
815,0.803921568627451,0.8913043478260869,0.7321428571428571
816,0.7936507936507936,0.8928571428571429,0.7246376811594203
818,0.7931034482758621,0.8846153846153846,0.71875
823,0.8,0.9090909090909091,0.7407407407407407
